Week,cardi b album,Nicki Minaj album
2022-01-30,7,13
2022-02-06,3,14
2022-02-13,6,8
2022-02-20,5,9
2022-02-27,5,11
2022-03-06,4,7
2022-03-13,4,11
2022-03-20,8,8
2022-03-27,7,8
2022-04-03,8,8
2022-04-10,6,8
2022-04-17,0,7
2022-04-24,6,9
2022-05-01,6,6
2022-05-08,6,6
2022-05-15,6,7
2022-05-22,0,7
2022-05-29,12,8
2022-06-05,4,8
2022-06-12,6,8
2022-06-19,3,7
2022-06-26,7,4
2022-07-03,15,8
2022-07-10,4,8
2022-07-17,4,15
2022-07-24,11,10
2022-07-31,12,11
2022-08-07,5,17
2022-08-14,1,9
2022-08-21,5,14
2022-08-28,7,21
2022-09-04,8,8
2022-09-11,10,9
2022-09-18,9,6
2022-09-25,8,7
2022-10-02,4,4
2022-10-09,2,14
2022-10-16,100,3
2022-10-23,35,12
2022-10-30,6,6
2022-11-06,8,7
2022-11-13,9,7
2022-11-20,4,7
2022-11-27,10,4
2022-12-04,8,10
2022-12-11,9,13
2022-12-18,5,6
2022-12-25,17,5
2023-01-01,6,8
2023-01-08,9,8
2023-01-15,5,4
2023-01-22,6,8
